match_id,flip,gender,Mat,Won,Lost,Tied,NR,W/L,Inns,HS,LS,AveRPW,AveRPO,Mat_team2,Won_team2,Lost_team2,Tied_team2,NR_team2,W/L_team2,Inns_team2,HS_team2,LS_team2,AveRPW_team2,AveRPO_team2
211028,0,1,1,1,0,0,0,1.0,1,179,0.0,22.37,8.95,1,0,1,0,0,0.0,1,79,79.0,7.9,5.44
211028,1,1,1,0,1,0,0,0.0,1,79,79.0,7.9,5.44,1,1,0,0,0,1.0,1,179,0.0,22.37,8.95
211048,0,1,1,0,1,0,0,0.0,1,170,170.0,17.0,8.5,1,1,0,0,0,1.0,1,214,0.0,42.8,10.7
211048,1,1,1,1,0,0,0,1.0,1,214,0.0,42.8,10.7,1,0,1,0,0,0.0,1,170,170.0,17.0,8.5
225263,0,1,2,0,2,0,0,0.0,2,161,0.0,25.41,7.62,1,1,0,0,0,1.0,1,148,0.0,29.6,8.29
225263,1,1,1,1,0,0,0,1.0,1,148,0.0,29.6,8.29,2,0,2,0,0,0.0,2,161,0.0,25.41,7.62
225271,0,1,2,0,2,0,0,0.0,2,161,0.0,25.41,7.62,1,1,0,0,0,1.0,1,163,163.0,16.3,8.15
225271,1,1,1,1,0,0,0,1.0,1,163,163.0,16.3,8.15,2,0,2,0,0,0.0,2,161,0.0,25.41,7.62
226374,0,1,2,1,1,0,0,1.0,2,209,0.0,40.8,10.2,3,1,2,0,0,0.5,3,201,114.0,18.66,7.72
226374,1,1,3,1,2,0,0,0.5,3,201,114.0,18.66,7.72,2,1,1,0,0,1.0,2,209,0.0,40.8,10.2
238195,0,1,3,1,2,0,0,0.5,3,201,114.0,18.66,7.72,2,1,1,0,0,1.0,2,209,0.0,40.8,10.2
238195,1,1,2,1,1,0,0,1.0,2,209,0.0,40.8,10.2,3,1,2,0,0,0.5,3,201,114.0,18.66,7.72
249227,0,1,1,1,0,0,0,1.0,1,221,0.0,44.2,11.05,1,0,1,0,0,0.0,1,144,0.0,16.0,7.2
249227,1,1,1,0,1,0,0,0.0,1,144,0.0,16.0,7.2,1,1,0,0,0,1.0,1,221,0.0,44.2,11.05
251488,0,1,2,1,1,0,0,1.0,2,162,0.0,21.38,7.22,2,1,1,0,0,1.0,2,115,115.0,16.09,7.32
251488,1,1,2,1,1,0,0,1.0,2,115,115.0,16.09,7.32,2,1,1,0,0,1.0,2,162,0.0,21.38,7.22
255954,0,1,2,1,1,0,0,1.0,2,132,0.0,28.66,8.19,1,1,0,0,0,1.0,1,127,0.0,31.75,6.4
255954,1,1,1,1,0,0,0,1.0,1,127,0.0,31.75,6.4,2,1,1,0,0,1.0,2,132,0.0,28.66,8.19
258463,0,1,2,1,1,0,0,1.0,2,193,0.0,30.5,9.26,2,1,1,0,0,1.0,2,208,0.0,25.13,9.42
258463,1,1,2,1,1,0,0,1.0,2,208,0.0,25.13,9.42,2,1,1,0,0,1.0,2,193,0.0,30.5,9.26
258464,0,1,2,1,1,0,0,1.0,2,193,0.0,30.5,9.26,2,1,1,0,0,1.0,2,208,0.0,25.13,9.42
258464,1,1,2,1,1,0,0,1.0,2,208,0.0,25.13,9.42,2,1,1,0,0,1.0,2,193,0.0,30.5,9.26
287853,0,1,8,6,2,0,0,3.0,8,208,0.0,23.51,7.47,4,1,3,0,0,0.3333333333333333,4,205,0.0,21.53,8.01
287853,1,1,4,1,3,0,0,0.3333333333333333,4,205,0.0,21.53,8.01,8,6,2,0,0,3.0,8,208,0.0,23.51,7.47
287854,0,1,4,0,4,0,0,0.0,4,138,73.0,10.86,5.14,10,3,7,0,0,0.42857142857142855,10,190,132.0,18.51,7.78
