player,country,player_id
Shukhtara Rahman,Bangladesh,20c716e7
A Gasteratos,Greece,e87c009a
R Stokell,Ireland,def7b1bb
SPS Shikongo,Namibia,4043e3b0
B Karki,Nepal,edc2a9c6
S Dhadwal,Qatar,7e2c16a3
M Dixit,Luxembourg,d85d52c2
Ansar Iqbal,Norway,9a08a863
FA Zavala,Mozambique,2edfa6a8
NK Bagenda,Uganda,5926e145
JR Barry,Bahamas,9bc324b5
Rabia Sahan,Turkey,d37581d9
ML Schutt,Australia,17608a6f
Ankit Dubey,Sweden,65dadc70
Yadhira Nunez,Chile,e654fe3d
MR Swart,Netherlands,a75a78eb
BRM Taylor,Zimbabwe,53597be1
B Biza,Zimbabwe,8a522c6c
Samanvita Vijay,Denmark,2e889952
A Nathwani,Austria,f1c4f2ea
F Najjumba,Uganda,791dca18
Alina Aslam,Norway,fbffb752
Mohammed Shami,India,8cf9814c
M De Ridder,South Africa,5bb7ec70
B Arora,Malta,39e9f0c9
RE Nyangendo,Uganda,208ec8a4
T Muzarabani,Zimbabwe,a945bb28
Kinley Bidha,Bhutan,f2a34cbc
Virk Ali,France,f7f7bee0
AE Jones,England,b05e45e4
WJR Robertson,Jersey,e1370b54
KIC Asalanka,Sri Lanka,732c038e
OGL Bascome,Bermuda,94a1827c
P Abhijit,Seychelles,bc0083f7
GY Prastama,Indonesia,d9cdf81e
Shoaib Khan,Germany,03ecfde2
MO Kain,United States of America,60b46ad1
M Smit,South Africa,996ed07c
Yuliana,Indonesia,928310d3
Ignacio Lisboa,Chile,eceeb63a
TL Chatara,Zimbabwe,5bbabe59
SA Edwards,Netherlands,b59db04f
HWA Landheer,Netherlands,a6ec88f4
T Konate,Mali,e78ed8be
N Magagula,Swaziland,3a54c25b
EHSN Silva,United Arab Emirates,7572bf45
IKO Aboagye,Ghana,98614193
Zeeshan Siddiqui,Oman,9029d54a
M Mohasane,Lesotho,210aa845
R Panchal,Spain,91cd337c
EC Muller,Brazil,e1461e39
K Fraser,Scotland,a0a65375
AR Patwa,Tanzania,b43f7a6a
A Capsey,England,910dd54e
A le Breton,South Africa,69a0b944
Z James,West Indies,816af623
S Immadi,United States of America,a6dd06d6
DJ Malan,England,ad9c32a2
P Gheewala,Estonia,3b22ee4e
Ram Krishan,Estonia,b648094c
DV Macome,Mozambique,af4c15c5
SA Fritz,South Africa,d15e60c8
Lucky Ali,Denmark,28b032ac
DR Briggs,England,f3abd0c9
A Khan,England,e27cff77
CB Roposo,Mozambique,31f01815
DC Smith,Philippines,a968d39b
JJ Davidson,Scotland,068c47d2
EB Knowles,Czech Republic,e141fddd
SJ McGlashan,New Zealand,af71535d
UWMBCA Welegedara,Sri Lanka,dd37da14
Rajab Hussain,Hong Kong,b5a62769
HG Kuhn,South Africa,ede05b97
CK Coventry,Zimbabwe,a21ea40c
R Agamiire,Uganda,43ae7b1c
Sultan Ahmed,Oman,3bf7c034
Imran Khan,Portugal,a0a32dd1
TSS Mackintosh,Scotland,f5ef7ac3
Sonam Palden,Bhutan,ce7ab5f8
JT Darrell,Bermuda,69649715
AL Phehlukwayo,South Africa,ab6b1c45
Mohamed Ishmath,Maldives,8c7b9bfc
BAW Mendis,Sri Lanka,ea0cdc12
Fiza,Oman,c7c60bc5
R Avdylaj,Austria,422c0dde
