Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Season
Zulqarnain Haider (PAK),2,2,0,18,17,9.00,21,85.71,0,0,0,1,0,2010/11
Zulqarnain Haider (PAK),1,1,0,5,5,5.00,9,55.55,0,0,0,0,0,2006/07
Zulqarnain Haider (ESP),1,-,-,-,-,-,-,-,-,-,-,-,-,2019/20
Zulqarnain Haider (ESP),4,1,0,0,0,0.00,0,-,0,0,1,0,0,2019
Zulqarnain Haider (ESP),6,3,1,8,4,4.00,12,66.66,0,0,0,0,0,2022
Zulfiqar Babar (PAK),4,1,1,3,3*,-,4,75.00,0,0,0,0,0,2013/14
Zulfiqar Babar (PAK),3,2,2,24,13*,-,23,104.34,0,0,0,2,1,2013
Zulfiqar Ali Shah (PORT),1,1,0,12,12,12.00,9,133.33,0,0,0,0,1,2021
Zuhair Muhammad (KSA),2,2,0,7,5,3.50,16,43.75,0,0,0,0,0,2023/24
Zuhaib Zubair (UAE),2,1,0,13,13,13.00,9,144.44,0,0,0,1,0,2023/24
Zubaidi Zulkifle (MAS),8,8,1,138,72,19.71,117,117.94,0,1,1,13,5,2024
Zubaidi Zulkifle (MAS),9,9,0,125,38,13.88,106,117.92,0,0,2,13,2,2023/24
Zubaidi Zulkifle (MAS),11,11,1,321,73,32.10,228,140.78,0,2,1,33,13,2022/23
Zubaidi Zulkifle (MAS),4,4,0,82,46,20.50,43,190.69,0,0,1,8,6,2021/22
Zubaidi Zulkifle (MAS),4,4,0,31,22,7.75,29,106.89,0,0,1,2,2,2019/20
Zubaidi Zulkifle (MAS),14,13,0,234,36,18.00,158,148.10,0,0,0,30,9,2023
Zubaidi Zulkifle (MAS),10,10,1,252,96,28.00,138,182.60,0,1,2,20,19,2022
Zubaid Akbari (AFG),1,1,0,5,5,5.00,8,62.50,0,0,0,1,0,2023
Zou Kui (CHN),6,5,1,12,10,3.00,29,41.37,0,0,3,0,0,2023/24
Zou Kui (CHN),1,-,-,-,-,-,-,-,-,-,-,-,-,2023
Zong Yuechao (CHN),7,6,2,29,19*,7.25,53,54.71,0,0,2,4,0,2023/24
Zong Yuechao (CHN),1,1,0,6,6,6.00,12,50.00,0,0,0,0,0,2023
Zoheb Malek (MLT),1,-,-,-,-,-,-,-,-,-,-,-,-,2021/22
Zohaib Sarwar (PORT),4,4,1,45,33*,15.00,46,97.82,0,0,2,1,4,2019/20
Zohaib Sarwar (PORT),8,4,1,38,23*,12.66,30,126.66,0,0,1,2,2,2023
Zohaib Sarwar (PORT),2,2,1,9,6*,9.00,17,52.94,0,0,0,0,0,2022
Zishan Shah (DEN),6,5,1,88,50,22.00,87,101.14,0,1,0,7,1,2019
Ziaur Rehman (FIN),4,4,2,40,37*,20.00,51,78.43,0,0,0,3,0,2024
Ziaur Rehman (FIN),1,1,0,0,0,0.00,4,0.00,0,0,1,0,0,2019
Ziaur Rehman (FIN),5,5,0,66,29,13.20,62,106.45,0,0,0,6,1,2022
Ziaur Rahman (BAN),4,4,0,15,9,3.75,17,88.23,0,0,2,0,1,2013/14
Ziaur Rahman (BAN),1,1,0,2,2,2.00,7,28.57,0,0,0,0,0,2013
Ziaur Rahman (BAN),3,2,2,15,14*,-,17,88.23,0,0,0,0,1,2012/13
Ziaur Rahman (BAN),6,5,1,85,40*,21.25,50,170.00,0,0,1,3,8,2012
Ziaur Rahman (AFG),1,-,-,-,-,-,-,-,-,-,-,-,-,2018/19
Zhuang Zelin (CHN),7,7,1,13,4,2.16,38,34.21,0,0,1,0,0,2023/24
Zhuang Zelin (CHN),4,4,0,38,33,9.50,54,70.37,0,0,2,2,0,2023
Zhao Tianle (CHN),5,4,0,6,4,1.50,23,26.08,0,0,1,0,0,2023/24
Zhao Tianle (CHN),2,2,0,0,0,0.00,5,0.00,0,0,2,0,0,2023
Zeshan Arif (Aut),5,1,1,25,25*,-,21,119.04,0,0,0,1,1,2024
Zeshan Arif (Aut),3,-,-,-,-,-,-,-,-,-,-,-,-,2019
Zeeshan Siddiqui (OMA),4,4,1,42,33*,14.00,47,89.36,0,0,0,4,0,2015/16
Zeeshan Siddiqui (OMA),1,1,0,18,18,18.00,16,112.50,0,0,0,3,0,2015
Zeeshan Sarwar (CYP),4,4,0,116,61,29.00,79,146.83,0,1,1,4,10,2021/22
