match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1415714,2024,2024-06-07,"Providence Stadium, Guyana",1,0.1,Afghanistan,New Zealand,Rahmanullah Gurbaz,Ibrahim Zadran,TA Boult,0,0,,,,,,,,,
1415714,2024,2024-06-07,"Providence Stadium, Guyana",1,0.2,Afghanistan,New Zealand,Rahmanullah Gurbaz,Ibrahim Zadran,TA Boult,2,0,,,,,,,,,
1415714,2024,2024-06-07,"Providence Stadium, Guyana",1,0.3,Afghanistan,New Zealand,Rahmanullah Gurbaz,Ibrahim Zadran,TA Boult,4,0,,,,,,,,,
1415714,2024,2024-06-07,"Providence Stadium, Guyana",1,0.4,Afghanistan,New Zealand,Rahmanullah Gurbaz,Ibrahim Zadran,TA Boult,0,0,,,,,,,,,
1415714,2024,2024-06-07,"Providence Stadium, Guyana",1,0.5,Afghanistan,New Zealand,Rahmanullah Gurbaz,Ibrahim Zadran,TA Boult,0,0,,,,,,,,,
1415714,2024,2024-06-07,"Providence Stadium, Guyana",1,0.6,Afghanistan,New Zealand,Rahmanullah Gurbaz,Ibrahim Zadran,TA Boult,0,0,,,,,,,,,
1415714,2024,2024-06-07,"Providence Stadium, Guyana",1,1.1,Afghanistan,New Zealand,Ibrahim Zadran,Rahmanullah Gurbaz,MJ Henry,2,0,,,,,,,,,
1415714,2024,2024-06-07,"Providence Stadium, Guyana",1,1.2,Afghanistan,New Zealand,Ibrahim Zadran,Rahmanullah Gurbaz,MJ Henry,0,0,,,,,,,,,
1415714,2024,2024-06-07,"Providence Stadium, Guyana",1,1.3,Afghanistan,New Zealand,Ibrahim Zadran,Rahmanullah Gurbaz,MJ Henry,4,0,,,,,,,,,
1415714,2024,2024-06-07,"Providence Stadium, Guyana",1,1.4,Afghanistan,New Zealand,Ibrahim Zadran,Rahmanullah Gurbaz,MJ Henry,4,0,,,,,,,,,
1415714,2024,2024-06-07,"Providence Stadium, Guyana",1,1.5,Afghanistan,New Zealand,Ibrahim Zadran,Rahmanullah Gurbaz,MJ Henry,0,1,,,,1,,,,,
1415714,2024,2024-06-07,"Providence Stadium, Guyana",1,1.6,Afghanistan,New Zealand,Rahmanullah Gurbaz,Ibrahim Zadran,MJ Henry,4,0,,,,,,,,,
1415714,2024,2024-06-07,"Providence Stadium, Guyana",1,2.1,Afghanistan,New Zealand,Ibrahim Zadran,Rahmanullah Gurbaz,TA Boult,0,0,,,,,,,,,
1415714,2024,2024-06-07,"Providence Stadium, Guyana",1,2.2,Afghanistan,New Zealand,Ibrahim Zadran,Rahmanullah Gurbaz,TA Boult,1,0,,,,,,,,,
1415714,2024,2024-06-07,"Providence Stadium, Guyana",1,2.3,Afghanistan,New Zealand,Rahmanullah Gurbaz,Ibrahim Zadran,TA Boult,0,0,,,,,,,,,
1415714,2024,2024-06-07,"Providence Stadium, Guyana",1,2.4,Afghanistan,New Zealand,Rahmanullah Gurbaz,Ibrahim Zadran,TA Boult,0,1,,,,1,,,,,
1415714,2024,2024-06-07,"Providence Stadium, Guyana",1,2.5,Afghanistan,New Zealand,Ibrahim Zadran,Rahmanullah Gurbaz,TA Boult,1,0,,,,,,,,,
1415714,2024,2024-06-07,"Providence Stadium, Guyana",1,2.6,Afghanistan,New Zealand,Rahmanullah Gurbaz,Ibrahim Zadran,TA Boult,1,0,,,,,,,,,
