,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Season
1556,Zulqarnain Haider (ESP),4,1,0,0,0,0.00,0,-,0,0,1,0,0,2019
3465,Zulqarnain Haider (ESP),6,3,1,8,4,4.00,12,66.66,0,0,0,0,0,2022
806,Zulqarnain Haider (ESP),1,-,-,-,-,-,-,-,-,-,-,-,-,2019/20
4399,Zulfiqar Ali Shah (PORT),1,1,0,12,12,12.00,9,133.33,0,0,0,0,1,2021
3305,Zuhair Muhammad (KSA),2,2,0,7,5,3.50,16,43.75,0,0,0,0,0,2023/24
4328,Zuhaib Zubair (UAE),2,1,0,13,13,13.00,9,144.44,0,0,0,1,0,2023/24
10003,Zubaidi Zulkifle (MAS),8,8,1,138,72,19.71,117,117.94,0,1,1,13,5,2024
10723,Zubaidi Zulkifle (MAS),14,13,0,234,36,18.0,158,148.1,0,0,0,30,9,2023
10634,Zubaidi Zulkifle (MAS),10,10,1,252,96,28.0,138,182.6,0,1,2,20,19,2022
11218,Zubaidi Zulkifle (MAS),11,11,1,321,73,32.1,228,140.78,0,2,1,33,13,2022/23
9800,Zubaidi Zulkifle (MAS),9,9,0,125,38,13.88,106,117.92,0,0,2,13,2,2023/24
8797,Zubaidi Zulkifle (MAS),4,4,0,82,46,20.50,43,190.69,0,0,1,8,6,2021/22
6080,Zubaidi Zulkifle (MAS),4,4,0,31,22,7.75,29,106.89,0,0,1,2,2,2019/20
2921,Zubaid Akbari (AFG),1,1,0,5,5,5.00,8,62.5,0,0,0,1,0,2023
51,Zou Kui (CHN),1,-,-,-,-,-,-,-,-,-,-,-,-,2023
4057,Zou Kui (CHN),6,5,1,12,10,3.00,29,41.37,0,0,3,0,0,2023/24
3094,Zong Yuechao (CHN),1,1,0,6,6,6.00,12,50.0,0,0,0,0,0,2023
5863,Zong Yuechao (CHN),7,6,2,29,19*,7.25,53,54.71,0,0,2,4,0,2023/24
613,Zoheb Malek (MLT),1,-,-,-,-,-,-,-,-,-,-,-,-,2021/22
7154,Zohaib Sarwar (PORT),4,4,1,45,33*,15.00,46,97.82,0,0,2,1,4,2019/20
6422,Zohaib Sarwar (PORT),8,4,1,38,23*,12.66,30,126.66,0,0,1,2,2,2023
3683,Zohaib Sarwar (PORT),2,2,1,9,6*,9.00,17,52.94,0,0,0,0,0,2022
9005,Zishan Shah (DEN),6,5,1,88,50,22.0,87,101.14,0,1,0,7,1,2019
1555,Ziaur Rehman (FIN),1,1,0,0,0,0.00,4,0.00,0,0,1,0,0,2019
8150,Ziaur Rehman (FIN),5,5,0,66,29,13.20,62,106.45,0,0,0,6,1,2022
6697,Ziaur Rehman (FIN),4,4,2,40,37*,20.00,51,78.43,0,0,0,3,0,2024
655,Ziaur Rahman (AFG),1,-,-,-,-,-,-,-,-,-,-,-,-,2018/19
6421,Zhuang Zelin (CHN),4,4,0,38,33,9.50,54,70.37,0,0,2,2,0,2023
4327,Zhuang Zelin (CHN),7,7,1,13,4,2.16,38,34.21,0,0,1,0,0,2023/24
1048,Zhao Tianle (CHN),2,2,0,0,0,0.00,5,0.00,0,0,2,0,0,2023
3117,Zhao Tianle (CHN),5,4,0,6,4,1.50,23,26.08,0,0,1,0,0,2023/24
723,Zeshan Arif (Aut),3,-,-,-,-,-,-,-,-,-,-,-,-,2019
5811,Zeshan Arif (Aut),5,1,1,25,25*,-,21,119.04,0,0,0,1,1,2024
4832,Zeeshan Siddiqui (OMA),1,1,0,18,18,18.00,16,112.5,0,0,0,3,0,2015
6924,Zeeshan Siddiqui (OMA),4,4,1,42,33*,14.00,47,89.36,0,0,0,4,0,2015/16
9580,Zeeshan Sarwar (CYP),4,4,0,116,61,29.0,79,146.83,0,1,1,4,10,2021/22
10467,Zeeshan Maqsood (OMA),17,16,2,211,45*,15.07,197,107.1,0,0,0,19,7,2024
10781,Zeeshan Maqsood (OMA),10,8,2,223,76*,37.16,201,110.94,0,1,0,20,8,2021/22
9124,Zeeshan Maqsood (OMA),4,4,0,99,34,24.75,107,92.52,0,0,0,13,1,2016/17
10330,Zeeshan Maqsood (OMA),15,11,4,179,56,25.57,175,102.28,0,1,0,17,4,2019/20
10239,Zeeshan Maqsood (OMA),7,5,1,190,102*,47.5,105,180.95,1,1,1,15,13,2022/23
10993,Zeeshan Maqsood (OMA),11,10,0,263,52,26.3,204,128.92,0,1,2,36,6,2015/16
3340,Zeeshan Maqsood (OMA),1,1,0,6,6,6.00,4,150.0,0,0,0,0,1,2015
10571,Zeeshan Maqsood (OMA),8,7,1,198,56*,33.0,156,126.92,0,1,1,17,9,2023/24
10994,Zeeshan Kukikhel (HUN),4,4,0,263,82,65.75,150,175.33,0,3,0,37,10,2021
10716,Zeeshan Kukikhel (HUN),7,7,0,235,137,33.57,133,176.69,1,0,0,20,17,2022
5496,Zeeshan Kukikhel (HUN),4,4,0,24,13,6.00,33,72.72,0,0,0,4,0,2023
10466,Zeeshan Khan (MLT),9,9,0,211,60,23.44,178,118.53,0,1,0,21,7,2024
11058,Zeeshan Khan (MLT),15,15,1,478,115,34.14,342,139.76,1,2,0,59,14,2023
7989,Zeeshan Khan (MLT),5,5,0,60,33,12.00,85,70.58,0,0,2,7,0,2022
10317,Zeeshan Khan (MLT),12,12,0,181,47,15.08,158,114.55,0,0,1,18,3,2021
3243,Zeeshan Khan (MLT),1,1,0,7,7,7.00,14,50.0,0,0,0,1,0,2021/22
431,Zeeshan Khan (MLT),1,-,-,-,-,-,-,-,-,-,-,-,-,2020
3270,Zeeshan Ali (HKG),2,1,0,7,7,7.00,4,175.0,0,0,0,0,1,2022/23
10311,Zeeshan Ali (HKG),15,11,4,182,55*,26.0,131,138.93,0,1,1,16,8,2023/24
9656,Zeeshan Ali (HKG),10,8,2,134,42,22.33,122,109.83,0,0,0,14,1,2022
11149,Zeeshan Ali (HKG),17,15,5,372,70,37.2,241,154.35,0,3,1,33,17,2024
1863,Zeeshan Abbas (BHR),1,1,0,1,1,1.00,4,25.0,0,0,0,0,0,2018/19
382,Zeeshan Abbas (BHR),3,-,-,-,-,-,-,-,-,-,-,-,-,2022/23
8773,Zeerak Chughtai (BUL),6,6,1,83,22,16.60,105,79.04,0,0,0,5,1,2024
7837,Zeerak Chughtai (BUL),2,2,1,64,44,64.00,55,116.36,0,0,0,7,2,2023
7979,Zawar Farid (UAE),2,2,0,60,55,30.00,47,127.65,0,1,0,4,3,2019/20
3594,Zawar Farid (UAE),2,2,0,7,6,3.50,6,116.66,0,0,0,1,0,2019
7831,Zawar Farid (UAE),5,5,1,64,41,16.00,50,128.0,0,0,0,4,3,2022
6159,Zawar Farid (UAE),5,4,1,30,12,10.00,18,166.66,0,0,1,3,2,2021/22
