Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Season
Zulqarnain Haider (PAK),2,-,-,-,-,-,-,-,-,-,-,-,2010/11
Zulqarnain Haider (PAK),1,-,-,-,-,-,-,-,-,-,-,-,2006/07
Zulqarnain Haider (ESP),1,1,3.0,0,7,0,-,-,2.33,-,0,0,2019/20
Zulqarnain Haider (ESP),6,6,15.0,0,91,5,2/26,18.20,6.06,18.0,0,0,2022
Zulqarnain Haider (ESP),4,4,10.0,0,53,3,1/7,17.66,5.30,20.0,0,0,2019
Zulfiqar Babar (PAK),4,4,14.0,0,104,5,2/26,20.80,7.42,16.8,0,0,2013/14
Zulfiqar Babar (PAK),3,3,12.0,1,81,7,3/23,11.57,6.75,10.2,0,0,2013
Zulfiqar Ali Shah (PORT),1,-,-,-,-,-,-,-,-,-,-,-,2021
Zuhair Muhammad (KSA),2,-,-,-,-,-,-,-,-,-,-,-,2023/24
Zuhaib Zubair (UAE),2,2,6.0,0,48,0,-,-,8.00,-,0,0,2023/24
Zubaidi Zulkifle (MAS),8,-,-,-,-,-,-,-,-,-,-,-,2024
Zubaidi Zulkifle (MAS),9,-,-,-,-,-,-,-,-,-,-,-,2023/24
Zubaidi Zulkifle (MAS),14,-,-,-,-,-,-,-,-,-,-,-,2023
Zubaidi Zulkifle (MAS),11,-,-,-,-,-,-,-,-,-,-,-,2022/23
Zubaidi Zulkifle (MAS),10,-,-,-,-,-,-,-,-,-,-,-,2022
Zubaidi Zulkifle (MAS),4,-,-,-,-,-,-,-,-,-,-,-,2021/22
Zubaidi Zulkifle (MAS),4,-,-,-,-,-,-,-,-,-,-,-,2019/20
Zubaid Akbari (AFG),1,-,-,-,-,-,-,-,-,-,-,-,2023
Zou Kui (CHN),6,1,2.0,0,37,0,-,-,18.50,-,0,0,2023/24
Zou Kui (CHN),1,-,-,-,-,-,-,-,-,-,-,-,2023
Zong Yuechao (CHN),7,6,16.0,0,102,6,2/12,17.00,6.37,16.0,0,0,2023/24
Zong Yuechao (CHN),1,-,-,-,-,-,-,-,-,-,-,-,2023
Zoheb Malek (MLT),1,1,3.0,0,28,0,-,-,9.33,-,0,0,2021/22
Zohaib Sarwar (PORT),2,-,-,-,-,-,-,-,-,-,-,-,2022
Zohaib Sarwar (PORT),4,4,7.0,0,51,1,1/8,51.00,7.28,42.0,0,0,2019/20
Zohaib Sarwar (PORT),8,6,17.1,0,147,6,2/8,24.50,8.56,17.1,0,0,2023
Zishan Shah (DEN),6,-,-,-,-,-,-,-,-,-,-,-,2019
Ziaur Rehman (FIN),4,-,-,-,-,-,-,-,-,-,-,-,2024
Ziaur Rehman (FIN),1,-,-,-,-,-,-,-,-,-,-,-,2019
Ziaur Rehman (FIN),5,1,1.0,0,11,0,-,-,11.00,-,0,0,2022
Ziaur Rahman (BAN),4,4,6.3,0,90,2,1/16,45.00,13.84,19.5,0,0,2013/14
