Player,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Season
Zulqarnain Haider (ESP),4,4,1,1,0,0,1,1 (1ct 0st),0.25,2019
Zulqarnain Haider (ESP),1,1,0,0,0,0,0,0,0.0,2019/20
Zulqarnain Haider (ESP),6,6,0,0,0,0,0,0,0.0,2022
Zulfiqar Ali Shah (PORT),1,1,0,0,0,0,0,0,0.0,2021
Zuhair Muhammad (KSA),2,2,0,0,0,0,0,0,0.0,2023/24
Zuhaib Zubair (UAE),2,2,0,0,0,0,0,0,0.0,2023/24
Zubaidi Zulkifle (MAS),10,10,6,6,0,0,6,2 (2ct 0st),0.6,2022
Zubaidi Zulkifle (MAS),14,14,6,6,0,0,6,1 (1ct 0st),0.428,2023
Zubaidi Zulkifle (MAS),4,4,0,0,0,0,0,0,0.0,2021/22
Zubaidi Zulkifle (MAS),11,10,9,9,0,0,9,3 (3ct 0st),0.9,2022/23
Zubaidi Zulkifle (MAS),4,4,1,1,0,0,1,1 (1ct 0st),0.25,2019/20
Zubaidi Zulkifle (MAS),8,8,4,4,0,0,4,1 (1ct 0st),0.5,2024
Zubaidi Zulkifle (MAS),9,9,2,2,0,0,2,2 (2ct 0st),0.222,2023/24
Zubaid Akbari (AFG),1,-,-,-,-,-,-,-,-,2023
Zou Kui (CHN),6,6,1,1,0,0,1,1 (1ct 0st),0.166,2023/24
Zou Kui (CHN),1,1,0,0,0,0,0,0,0.0,2023
Zong Yuechao (CHN),1,1,0,0,0,0,0,0,0.0,2023
Zong Yuechao (CHN),7,7,2,2,0,0,2,2 (2ct 0st),0.285,2023/24
Zoheb Malek (MLT),1,1,1,1,0,0,1,1 (1ct 0st),1.0,2021/22
Zohaib Sarwar (PORT),4,4,0,0,0,0,0,0,0.0,2019/20
Zohaib Sarwar (PORT),8,8,2,2,0,0,2,2 (2ct 0st),0.25,2023
Zohaib Sarwar (PORT),2,2,0,0,0,0,0,0,0.0,2022
Zishan Shah (DEN),6,4,2,2,0,0,2,1 (1ct 0st),0.5,2019
Ziaur Rehman (FIN),5,5,0,0,0,0,0,0,0.0,2022
Ziaur Rehman (FIN),4,4,1,1,0,0,1,1 (1ct 0st),0.25,2024
Ziaur Rehman (FIN),1,1,0,0,0,0,0,0,0.0,2019
Ziaur Rahman (AFG),1,1,0,0,0,0,0,0,0.0,2018/19
Zhuang Zelin (CHN),4,4,1,1,0,0,1,1 (1ct 0st),0.25,2023
Zhuang Zelin (CHN),7,7,6,6,0,0,6,3 (3ct 0st),0.857,2023/24
Zhao Tianle (CHN),2,2,0,0,0,0,0,0,0.0,2023
Zhao Tianle (CHN),5,5,2,2,0,0,2,1 (1ct 0st),0.4,2023/24
Zeshan Arif (Aut),3,3,0,0,0,0,0,0,0.0,2019
Zeshan Arif (Aut),5,5,4,4,0,0,4,2 (2ct 0st),0.8,2024
Zeeshan Siddiqui (OMA),1,1,0,0,0,0,0,0,0.0,2015
Zeeshan Siddiqui (OMA),4,4,0,0,0,0,0,0,0.0,2015/16
Zeeshan Sarwar (CYP),4,4,0,0,0,0,0,0,0.0,2021/22
Zeeshan Maqsood (OMA),17,17,3,3,0,0,3,1 (1ct 0st),0.176,2024
Zeeshan Maqsood (OMA),8,8,1,1,0,0,1,1 (1ct 0st),0.125,2023/24
Zeeshan Maqsood (OMA),4,4,0,0,0,0,0,0,0.0,2016/17
Zeeshan Maqsood (OMA),10,10,1,1,0,0,1,1 (1ct 0st),0.1,2021/22
Zeeshan Maqsood (OMA),7,7,0,0,0,0,0,0,0.0,2022/23
Zeeshan Maqsood (OMA),1,1,0,0,0,0,0,0,0.0,2015
