version,2.2.0
info,balls_per_over,6
info,team,Afghanistan
info,team,South Africa
info,gender,male
info,season,2024
info,date,2024/06/26
info,event,ICC Men's T20 World Cup
info,venue,"Brian Lara Stadium, Tarouba, Trinidad"
info,city,Tarouba
info,toss_winner,Afghanistan
info,toss_decision,bat
info,player_of_match,M Jansen
info,umpire,Nitin Menon
info,umpire,RK Illingworth
info,reserve_umpire,Ahsan Raza
info,tv_umpire,RA Kettleborough
info,match_referee,RB Richardson
info,winner,South Africa
info,winner_wickets,9
info,player,Afghanistan,Rahmanullah Gurbaz
info,player,Afghanistan,Ibrahim Zadran
info,player,Afghanistan,Gulbadin Naib
info,player,Afghanistan,Azmatullah Omarzai
info,player,Afghanistan,Mohammad Nabi
info,player,Afghanistan,Nangeyalia Kharote
info,player,Afghanistan,Karim Janat
info,player,Afghanistan,Rashid Khan
info,player,Afghanistan,Noor Ahmad
info,player,Afghanistan,Naveen-ul-Haq
info,player,Afghanistan,Fazalhaq Farooqi
info,player,South Africa,Q de Kock
info,player,South Africa,RR Hendricks
info,player,South Africa,AK Markram
info,player,South Africa,T Stubbs
info,player,South Africa,H Klaasen
info,player,South Africa,DA Miller
info,player,South Africa,M Jansen
info,player,South Africa,KA Maharaj
info,player,South Africa,K Rabada
info,player,South Africa,A Nortje
info,player,South Africa,T Shamsi
info,registry,people,A Nortje,acdc62f5
info,registry,people,AK Markram,6a26221c
info,registry,people,Ahsan Raza,e0e5b209
info,registry,people,Azmatullah Omarzai,8f6dd463
info,registry,people,DA Miller,d67d5f00
info,registry,people,Fazalhaq Farooqi,e9c7f0d0
info,registry,people,Gulbadin Naib,9f77963a
info,registry,people,H Klaasen,235c2bb6
info,registry,people,Ibrahim Zadran,d4550956
info,registry,people,K Rabada,e62dd25d
info,registry,people,KA Maharaj,0b60eb09
info,registry,people,Karim Janat,62175638
info,registry,people,M Jansen,81c36ee9
info,registry,people,Mohammad Nabi,62af8546
info,registry,people,Nangeyalia Kharote,75b8e198
info,registry,people,Naveen-ul-Haq,c0c411cb
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,Noor Ahmad,efc04be7
info,registry,people,Q de Kock,372455c4
info,registry,people,RA Kettleborough,4017868f
info,registry,people,RB Richardson,410e2f12
info,registry,people,RK Illingworth,20672246
info,registry,people,RR Hendricks,b8cc58c9
info,registry,people,Rahmanullah Gurbaz,0bacade8
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,T Shamsi,a03bba42
info,registry,people,T Stubbs,85b3fab2
