Player,Season,Mat,Inns,Batting Runs,SR,Ave,Country,Cum batting Ave,Cum battings Runs Total,Cum Inns Total,Cum SR,player_id,Overs,Bowling_Runs,Wkts,Econ,Cumulative Overs,Cumulative Wkts,Cumulative Runs,Cumulative Inns,Cumulative Econ,Dis,Ct,St,D/I
A Ahmadhel,2019/20,3,2.0,16.0,100.0,8.0,Bulgaria,8.0,16.0,2.0,100.0,55a5cffb,10.0,75.0,3.0,7.5,10.0,3.0,75.0,3.0,25.0,0.0,0.0,0.0,0.0
A Ahmadhel,2020,1,1.0,8.0,100.0,8.0,Bulgaria,8.0,24.0,3.0,100.0,55a5cffb,2.0,22.0,1.0,11.0,12.0,4.0,97.0,4.0,24.25,0.0,0.0,0.0,0.0
A Ahmadhel,2020/21,2,1.0,2.0,28.57,2.0,Bulgaria,6.5,26.0,4.0,76.19,55a5cffb,2.4,27.0,2.0,10.12,14.4,6.0,124.0,6.0,20.666666666666668,0.0,0.0,0.0,0.0
A Ahmadhel,2021,3,3.0,5.0,38.46,1.66,Bulgaria,4.43,31.0,7.0,66.76,55a5cffb,3.0,31.0,0.0,10.33,17.4,6.0,155.0,8.0,19.375,0.0,0.0,0.0,0.0
A Ahmadhel,2023,2,0.0,0.0,0.0,0.0,Bulgaria,4.43,31.0,7.0,53.41,55a5cffb,0.0,0.0,0.0,0.0,17.4,6.0,155.0,8.0,19.375,0.0,0.0,0.0,0.0
A Ahmadhel,2024,1,1.0,2.0,33.33,2.0,Bulgaria,4.12,33.0,8.0,50.06,55a5cffb,0.0,0.0,0.0,0.0,17.4,6.0,155.0,8.0,19.375,1.0,1.0,0.0,0.09090909090909091
A Amado,2022,3,3.0,25.0,67.56,8.33,Israel,8.33,25.0,3.0,67.56,14ea3348,6.0,58.0,3.0,9.66,6.0,3.0,58.0,3.0,19.333333333333332,2.0,2.0,0.0,0.6666666666666666
A Andrews,2021/22,3,1.0,0.0,0.0,0.0,Switzerland,0.0,0.0,1.0,0.0,1d45c01a,10.0,61.0,4.0,6.1,10.0,4.0,61.0,3.0,20.333333333333332,4.0,4.0,0.0,1.3333333333333333
A Andrews,2022,4,3.0,34.0,85.0,17.0,Switzerland,12.75,34.0,4.0,42.5,1d45c01a,1.0,21.0,0.0,21.0,11.0,4.0,82.0,4.0,20.5,7.0,7.0,0.0,1.0
A Ashok,2023,1,0.0,0.0,0.0,0.0,New Zealand,0.0,0.0,0.0,0.0,321be7e3,4.0,28.0,1.0,7.0,4.0,1.0,28.0,1.0,28.0,0.0,0.0,0.0,0.0
A Ashokan,2019/20,2,2.0,41.0,141.37,20.5,Czech Republic,20.5,41.0,2.0,141.37,9244df4b,2.0,16.0,0.0,8.0,2.0,0.0,16.0,1.0,16.0,1.0,1.0,0.0,0.5
A Ashokan,2020,4,4.0,51.0,94.44,12.75,Czech Republic,15.33,92.0,6.0,117.91,9244df4b,8.5,97.0,2.0,10.98,10.5,2.0,113.0,5.0,22.6,3.0,3.0,0.0,0.5
A Ashokan,2021,7,7.0,151.0,107.85,30.2,Czech Republic,23.34,243.0,13.0,114.55,9244df4b,12.0,104.0,1.0,8.66,22.5,3.0,217.0,10.0,21.7,6.0,6.0,0.0,0.46153846153846156
A Ashokan,2022,15,14.0,369.0,123.41,36.9,Czech Republic,30.37,612.0,27.0,116.77,9244df4b,40.0,311.0,11.0,7.77,62.5,14.0,528.0,22.0,24.0,11.0,11.0,0.0,0.39285714285714285
A Ashokan,2023,3,3.0,43.0,74.13,14.33,Czech Republic,28.77,655.0,30.0,108.24,9244df4b,12.0,52.0,6.0,4.33,74.5,20.0,580.0,25.0,23.2,14.0,14.0,0.0,0.45161290322580644
A Athanaze,2024,4,4.0,75.0,122.95,25.0,West Indies,25.0,75.0,4.0,122.95,58c2fac4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.5
A Bagai,2008,3,3.0,24.0,92.3,12.0,Canada,12.0,24.0,3.0,92.3,112959b2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,1.6666666666666667
A Bagai,2009/10,4,4.0,145.0,118.85,36.25,Canada,25.86,169.0,7.0,105.57,112959b2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,1.0
A Bagai,2013/14,2,2.0,115.0,113.86,115.0,Canada,45.67,284.0,9.0,108.34,112959b2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,6.0,1.2222222222222223
