Team,Mat,Won,Lost,Tied,NR,W/L,Inns,HS,LS,Season,AveRPW,AveRPO
Zimbabwe,5,5,0,0,0,5.0,5,344,0.0,2024/25,43.6,12.82
Zimbabwe,10,2,8,0,0,0.25,10,159,124.0,2024,17.48,7.16
Zimbabwe,17,8,9,0,0,0.8888888888888888,17,217,82.0,2023/24,24.03,7.81
Zimbabwe,11,5,5,0,1,1.0,11,174,115.0,2022/23,16.94,7.13
Zimbabwe,16,9,7,0,0,1.2857142857142858,16,236,95.0,2022,22.45,7.75
Zimbabwe,14,6,8,0,0,0.75,14,193,138.0,2021,20.6,7.22
Zimbabwe,6,0,6,0,0,0.0,6,156,148.0,2020/21,19.38,7.28
Zimbabwe,6,3,3,0,0,1.0,6,177,152.0,2019/20,24.56,7.98
Zimbabwe,8,2,5,1,0,0.4,8,172,136.0,2019,22.01,8.23
Zimbabwe,2,0,2,0,0,0.0,2,132,126.0,2018/19,15.17,6.91
Zimbabwe,4,0,4,0,0,0.0,4,162,108.0,2018,17.74,7.06
Zimbabwe,2,0,2,0,0,0.0,2,141,0.0,2017/18,18.64,6.52
Zimbabwe,3,1,2,0,0,0.5,3,170,0.0,2016,19.23,6.73
Zimbabwe,15,5,10,0,0,0.5,15,190,127.0,2015/16,20.15,7.59
Zimbabwe,5,1,4,0,0,0.25,5,175,0.0,2015,23.67,7.34
Zimbabwe,3,2,1,0,0,2.0,3,163,0.0,2013/14,28.46,7.95
Zimbabwe,4,1,3,0,0,0.3333333333333333,4,168,0.0,2013,23.92,7.47
Zimbabwe,4,0,4,0,0,0.0,4,130,100.0,2012/13,13.75,5.67
Zimbabwe,4,0,4,0,0,0.0,4,200,154.0,2011/12,22.71,8.27
Zimbabwe,2,0,2,0,0,0.0,2,136,113.0,2011,14.64,7.04
Zimbabwe,2,0,2,0,0,0.0,2,186,0.0,2010/11,32.18,8.85
Zimbabwe,4,0,4,0,0,0.0,4,140,84.0,2010,14.56,6.04
Zimbabwe,1,1,0,0,0,1.0,1,105,105.0,2009/10,10.5,5.29
Zimbabwe,4,1,2,1,0,0.5,4,184,0.0,2008/09,17.73,6.9
Zimbabwe,2,1,1,0,0,1.0,2,139,0.0,2007/08,23.08,6.95
Zimbabwe,1,0,1,0,0,0.0,1,123,0.0,2006/07,13.66,6.15
World-XI,3,1,2,0,0,0.5,3,177,0.0,2017/18,27.88,8.38
West Indies,3,1,2,0,0,0.5,3,180,89.0,2024/25,18.73,7.78
West Indies,13,11,2,0,0,5.5,13,218,0.0,2024,32.92,9.27
West Indies,8,4,4,0,0,1.0,8,222,192.0,2023/24,26.27,9.96
West Indies,5,3,2,0,0,1.5,5,178,0.0,2023,28.0,8.38
West Indies,8,3,5,0,0,0.6,8,258,118.0,2022/23,22.35,8.85
West Indies,11,4,6,0,1,0.6666666666666666,10,193,100.0,2022,22.24,7.66
West Indies,16,4,12,0,0,0.3333333333333333,16,224,55.0,2021/22,23.91,8.08
West Indies,14,6,5,0,3,1.2,14,199,0.0,2021,27.62,8.66
West Indies,6,2,3,0,1,0.6666666666666666,6,180,117.0,2020/21,18.9,8.47
West Indies,11,5,5,0,1,1.0,11,207,0.0,2019/20,32.62,8.81
West Indies,3,0,3,0,0,0.0,3,146,0.0,2019,17.84,6.1
