team1,team2,gender,season,date,venue,city,toss_winner,toss_decision,winner,match_id
Australia,Sri Lanka,male,2016/17,2017/02/17,Melbourne Cricket Ground,,Sri Lanka,field,Sri Lanka,1001349
Australia,Sri Lanka,male,2016/17,2017/02/19,"Simonds Stadium, South Geelong",Victoria,Sri Lanka,field,Sri Lanka,1001351
Australia,Sri Lanka,male,2016/17,2017/02/22,Adelaide Oval,,Sri Lanka,field,Australia,1001353
Ireland,Hong Kong,male,2016,2016/09/05,"Bready Cricket Club, Magheramason",Londonderry,Hong Kong,bat,Hong Kong,1004729
Zimbabwe,India,male,2016,2016/06/18,Harare Sports Club,,India,field,Zimbabwe,1007655
Zimbabwe,India,male,2016,2016/06/20,Harare Sports Club,,Zimbabwe,bat,India,1007657
Zimbabwe,India,male,2016,2016/06/22,Harare Sports Club,,Zimbabwe,field,India,1007659
New Zealand,Bangladesh,male,2016/17,2017/01/03,McLean Park,Napier,Bangladesh,bat,New Zealand,1019979
New Zealand,Bangladesh,male,2016/17,2017/01/06,Bay Oval,Mount Maunganui,Bangladesh,field,New Zealand,1019981
New Zealand,Bangladesh,male,2016/17,2017/01/08,Bay Oval,Mount Maunganui,Bangladesh,field,New Zealand,1019983
New Zealand,South Africa,male,2016/17,2017/02/17,Eden Park,Auckland,New Zealand,field,South Africa,1020029
England,South Africa,male,2017,2017/06/21,The Rose Bowl,Southampton,South Africa,bat,England,1031431
England,South Africa,male,2017,2017/06/23,County Ground,Taunton,England,field,South Africa,1031433
England,South Africa,male,2017,2017/06/25,Sophia Gardens,Cardiff,South Africa,field,England,1031435
West Indies,England,male,2017,2017/09/16,Riverside Ground,Chester-le-Street,England,field,West Indies,1031665
India,England,male,2016/17,2017/01/26,Green Park,Kanpur,England,field,England,1034825
India,England,male,2016/17,2017/01/29,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,England,field,India,1034827
India,England,male,2016/17,2017/02/01,M Chinnaswamy Stadium,Bangalore,England,field,India,1034829
Afghanistan,Ireland,male,2016/17,2017/03/08,Greater Noida Sports Complex Ground,Greater Noida,Ireland,bat,Afghanistan,1040485
Afghanistan,Ireland,male,2016/17,2017/03/10,Greater Noida Sports Complex Ground,Greater Noida,Afghanistan,bat,Afghanistan,1040487
Afghanistan,Ireland,male,2016/17,2017/03/12,Greater Noida Sports Complex Ground,Greater Noida,Ireland,field,Afghanistan,1040489
India,West Indies,male,2016,2016/08/27,Central Broward Regional Park Stadium Turf Ground,Lauderhill,India,field,West Indies,1041615
Australia,New Zealand,female,2016/17,2017/02/17,Melbourne Cricket Ground,,New Zealand,field,Australia,1043989
Australia,New Zealand,female,2016/17,2017/02/19,"Simonds Stadium, South Geelong",Victoria,Australia,field,New Zealand,1043991
Australia,New Zealand,female,2016/17,2017/02/22,Adelaide Oval,,New Zealand,bat,New Zealand,1043993
Sri Lanka,Australia,female,2016,2016/09/27,Sinhalese Sports Club Ground,Colombo,Australia,field,Australia,1044211
Pakistan,West Indies,male,2016/17,2016/09/23,Dubai International Cricket Stadium,,Pakistan,field,Pakistan,1050217
Pakistan,West Indies,male,2016/17,2016/09/24,Dubai International Cricket Stadium,,West Indies,field,Pakistan,1050219
Pakistan,West Indies,male,2016/17,2016/09/27,Sheikh Zayed Stadium,Abu Dhabi,Pakistan,field,Pakistan,1050221
New Zealand,Pakistan,female,2016/17,2016/11/21,Saxton Oval,Nelson,New Zealand,bat,New Zealand,1050615
India,Pakistan,female,2016/17,2016/12/04,Asian Institute of Technology Ground,Bangkok,India,bat,India,1065348
United Arab Emirates,Afghanistan,male,2016/17,2016/12/14,ICC Academy,Dubai,Afghanistan,bat,Afghanistan,1072206
United Arab Emirates,Afghanistan,male,2016/17,2016/12/16,Dubai International Cricket Stadium,,United Arab Emirates,bat,Afghanistan,1072207
United Arab Emirates,Afghanistan,male,2016/17,2016/12/18,ICC Academy,Dubai,Afghanistan,bat,Afghanistan,1072208
New Zealand,Australia,male,2017/18,2018/02/03,Sydney Cricket Ground,,Australia,field,Australia,1072316
England,Australia,male,2017/18,2018/02/07,Bellerive Oval,Hobart,Australia,field,Australia,1072317
England,Australia,male,2017/18,2018/02/10,Melbourne Cricket Ground,,Australia,field,Australia,1072318
New Zealand,England,male,2017/18,2018/02/13,Westpac Stadium,Wellington,England,field,New Zealand,1072319
