match_id,gender,Mat,Won,Lost,Tied,NR,W/L,Inns,HS,LS,AveRPW,AveRPO,Mat_team2,Won_team2,Lost_team2,Tied_team2,NR_team2,W/L_team2,Inns_team2,HS_team2,LS_team2,AveRPW_team2,AveRPO_team2
1298172,1,9,5,3,0,1,1.6666666666666667,9,200,111.0,23.1,8.51,9,4,5,0,0,0.8,9,166,112.0,21.33,6.97
1362815,1,15,9,6,0,0,1.5,15,185,0.0,23.96,7.55,9,4,5,0,0,0.8,9,166,112.0,21.33,6.97
1399118,1,8,3,4,0,1,0.75,7,193,115.0,20.98,8.54,5,2,2,0,1,1.0,5,154,116.0,17.54,6.69
1415729,1,4,0,4,0,0,0.0,4,136,77.0,10.15,4.9,8,5,3,0,0,1.6666666666666667,8,183,56.0,18.36,7.04
1415740,1,13,11,2,0,0,5.5,13,218,0.0,32.92,9.27,8,5,3,0,0,1.6666666666666667,8,183,56.0,18.36,7.04
1359787,1,6,6,0,0,0,6.0,6,226,0.0,64.46,9.37,6,1,5,0,0,0.2,6,125,77.0,13.2,5.53
1359793,1,6,6,0,0,0,6.0,6,226,0.0,64.46,9.37,6,1,5,0,0,0.2,6,125,77.0,13.2,5.53
1359794,1,4,1,3,0,0,0.3333333333333333,4,139,126.0,15.21,6.28,6,1,5,0,0,0.2,6,125,77.0,13.2,5.53
1415748,1,8,5,3,0,0,1.6666666666666667,8,183,56.0,18.36,7.04,12,9,3,0,0,3.0,12,201,127.0,29.84,9.48
1270836,1,13,9,4,0,0,2.25,13,194,76.0,18.67,6.41,10,2,8,0,0,0.25,10,189,62.0,16.36,6.87
1270837,1,13,9,4,0,0,2.25,13,194,76.0,18.67,6.41,10,2,8,0,0,0.25,10,189,62.0,16.36,6.87
1270838,1,13,9,4,0,0,2.25,13,194,76.0,18.67,6.41,10,2,8,0,0,0.25,10,189,62.0,16.36,6.87
682957,1,10,2,8,0,0,0.25,10,189,98.0,19.44,7.22,10,6,4,0,0,1.5,10,213,86.0,26.22,9.08
1072317,1,4,1,3,0,0,0.3333333333333333,4,194,0.0,20.93,8.37,7,6,1,0,0,6.0,7,245,0.0,34.51,8.92
1072318,1,4,1,3,0,0,0.3333333333333333,4,194,0.0,20.93,8.37,7,6,1,0,0,6.0,7,245,0.0,34.51,8.92
1119542,1,4,2,2,0,0,1.0,4,221,0.0,26.92,9.12,6,3,3,0,0,1.0,6,229,193.0,31.06,9.29
1198235,1,6,3,2,0,1,1.5,6,199,0.0,27.22,8.58,3,1,2,0,0,0.5,3,160,0.0,25.72,7.78
1198237,1,6,3,2,0,1,1.5,6,199,0.0,27.22,8.58,3,1,2,0,0,0.5,3,160,0.0,25.72,7.78
1317486,1,12,7,4,0,1,1.75,12,208,117.0,27.53,8.03,9,5,3,0,1,1.6666666666666667,9,200,111.0,23.1,8.51
1317487,1,12,7,4,0,1,1.75,12,208,117.0,27.53,8.03,9,5,3,0,1,1.6666666666666667,9,200,111.0,23.1,8.51
211028,1,1,1,0,0,0,1.0,1,179,0.0,22.37,8.95,1,0,1,0,0,0.0,1,79,79.0,7.9,5.44
566937,1,4,1,2,0,1,0.5,4,209,0.0,35.41,9.97,2,1,1,0,0,1.0,2,248,0.0,27.73,10.4
566938,1,4,1,2,0,1,0.5,4,209,0.0,35.41,9.97,2,1,1,0,0,1.0,2,248,0.0,27.73,10.4
743975,1,2,2,0,0,0,2.0,2,191,0.0,31.08,9.32,1,0,1,0,0,0.0,1,177,0.0,22.12,8.85
1168247,1,11,5,5,0,1,1.0,10,208,139.0,31.71,8.55,10,4,5,0,1,0.8,10,194,89.0,20.35,7.43
1168248,1,11,5,5,0,1,1.0,10,208,139.0,31.71,8.55,10,4,5,0,1,0.8,10,194,89.0,20.35,7.43
1327503,1,23,15,7,0,1,2.142857142857143,23,225,138.0,30.72,9.32,6,3,3,0,0,1.0,6,211,0.0,30.76,9.3
1389394,1,10,7,2,1,0,3.5,10,235,0.0,33.18,10.0,14,9,5,0,0,1.8,14,241,174.0,33.69,10.11
1389395,1,10,7,2,1,0,3.5,10,235,0.0,33.18,10.0,14,9,5,0,0,1.8,14,241,174.0,33.69,10.11
1415751,1,16,14,1,1,0,14.0,16,234,102.0,28.72,8.67,12,9,3,0,0,3.0,12,201,127.0,29.84,9.48
297800,1,9,5,2,1,1,2.5,8,218,74.0,25.56,8.2,9,5,4,0,0,1.25,9,186,0.0,33.26,8.4
647247,1,7,6,1,0,0,6.0,7,202,0.0,39.59,7.88,10,6,4,0,0,1.5,10,213,86.0,26.22,9.08
951363,1,18,13,5,0,0,2.6,18,200,79.0,29.17,7.88,10,4,6,0,0,0.6666666666666666,10,205,151.0,25.25,8.57
1415724,1,13,3,9,1,0,0.3333333333333333,13,212,72.0,19.6,7.1,12,9,3,0,0,3.0,12,201,127.0,29.84,9.48
1072316,1,14,5,8,0,1,0.625,14,243,153.0,26.88,8.98,7,6,1,0,0,6.0,7,245,0.0,34.51,8.92
1072320,1,14,5,8,0,1,0.625,14,243,153.0,26.88,8.98,7,6,1,0,0,6.0,7,245,0.0,34.51,8.92
1072322,1,14,5,8,0,1,0.625,14,243,153.0,26.88,8.98,7,6,1,0,0,6.0,7,245,0.0,34.51,8.92
1233971,1,14,10,3,0,1,3.3333333333333335,13,238,106.0,32.79,9.57,8,3,5,0,0,0.6,8,215,131.0,26.07,8.77
1233972,1,14,10,3,0,1,3.3333333333333335,13,238,106.0,32.79,9.57,8,3,5,0,0,0.6,8,215,131.0,26.07,8.77
1273756,1,10,5,5,0,0,1.0,10,172,111.0,28.3,7.78,13,10,2,1,0,5.0,13,177,125.0,29.03,8.15
1298147,1,18,9,7,2,0,1.2857142857142858,18,208,66.0,25.98,8.27,9,5,3,0,1,1.6666666666666667,9,200,111.0,23.1,8.51
1388223,1,11,5,5,0,1,1.0,11,226,92.0,24.04,8.56,14,9,5,0,0,1.8,14,241,174.0,33.69,10.11
211048,1,1,0,1,0,0,0.0,1,170,170.0,17.0,8.5,1,1,0,0,0,1.0,1,214,0.0,42.8,10.7
423787,1,5,1,3,1,0,0.3333333333333333,5,214,112.0,22.3,7.7,5,4,0,1,0,4.0,5,214,127.0,27.89,9.04
1273755,1,13,11,2,0,0,5.5,13,208,0.0,36.18,8.33,13,10,2,1,0,5.0,13,177,125.0,29.03,8.15
1144989,1,9,7,1,1,0,7.0,9,198,0.0,30.55,8.66,10,4,5,0,1,0.8,10,194,89.0,20.35,7.43
1185316,1,8,3,5,0,0,0.6,8,222,89.0,24.17,8.39,9,7,1,0,1,7.0,9,233,0.0,51.23,9.23
