player,country,player_id
E Frimpong,Ghana,3c13fc3b
L Rika,Fiji,fe12944e
B George,Malta,1bdbf53b
WB Rankin,Ireland,29b89ae8
V Phiri,Malawi,8ffa1b3c
LK Bell,England,38b4583c
L Malino,Malawi,7a81836e
V Frank,Papua New Guinea,4f58d65d
A Nortje,South Africa,acdc62f5
Musfirah Nur Ainaa,Malaysia,acd1fec7
KJ Coetzer,Scotland,85d8110a
N Ahir,Panama,c2ecd4a7
AQM Yako,South Africa,3f4456f5
KA Pollard,West Indies,a757b0d8
P Kumar,India,e938e1bc
Abdulmalik Jabarkhel,France,e3fbe553
KL Rolton,Australia,9306c803
Izhar Hussain,Switzerland,1bc71d98
Ali Muaaz,Greece,52062ed6
Hee Jung Lee,South Korea,48bcc6d7
Joshua Asia,Nigeria,c4ecc42c
S Mosweu,Botswana,10726a80
Azam Khalil,Sweden,ff1e08eb
M Sidibe,Mali,78091b14
DJ Reekers,Netherlands,d84a2d8e
D Faletar,Croatia,8c911414
MW Machan,Scotland,8c7d6cbe
Wahidullah Sahak,Norway,6913e38e
I Alumo,Uganda,6edd8b10
Noman Amjad,France,c079c66a
CT Tremlett,England,a72b14ff
Kaleemullah,Oman,72253b87
SR Thadani,United States of America,76bda023
Ijaz Ahmad Ahmadzai,Afghanistan,4d4dbd57
Parveen Kumar,Canada,e6b3c3cc
Ahsan Abbasi,Hong Kong,4f21dc48
Sivakumar,Cambodia,344292b2
SS Prabhu,Oman,7d2689c0
RP Singh,India,c3d1402f
Priyada Murali,Kuwait,f4b942ae
Shubman Gill,India,b4b99816
ZT Kyaw,Myanmar,cdf63aaa
C Rububagumya,Rwanda,8088632c
Lwin Maw,Myanmar,ae1300a0
R Gunasekera,Canada,9b6ad88a
K Motlanka,Botswana,21549344
M Marin,Romania,2feef01b
H Chamto,Sweden,5e181be6
E Frosler,South Africa,333cbc00
Sneha Shankar,Malta,dc6eced9
C Bogdanos,Greece,ecdfdd3c
Rafaqat Ali,Norway,b3f90695
Al-Amin Hossain,Bangladesh,3f5f39cd
C Uwamahoro,Rwanda,81dfc700
AT Chuvale,Mozambique,deb4469d
G Matome,Botswana,a6898f7a
Tuba Hassan,Pakistan,0d56e9a5
N Vanua,Papua New Guinea,a36915ce
P Ganeshan,Austria,3829c5ea
S Niyomuhoza,Rwanda,a5424013
Rakibul Hasan,Italy,b75b7b09
V Abuga,Kenya,1ce58052
M Faheem,Thailand,7fc8bb18
AS Warnakulasuriya,Italy,05f1cff9
M Ndhambi,Kenya,76e56ac6
Madeeha Zuberi,Kuwait,c86675a9
S Koppolu,Slovenia,3346b14f
Kaushal Kumar,Mexico,8cc37805
