Player,Season,Mat,Inns,Batting Runs,SR,Ave,Country,Cum batting Ave,Cum battings Runs Total,Cum Inns Total,Cum SR,player_id
A Ahmadhel,2019/20,3,2.0,16.0,100.0,8.0,Bulgaria,8.0,16.0,2.0,100.0,55a5cffb
A Ahmadhel,2020,1,1.0,8.0,100.0,8.0,Bulgaria,8.0,24.0,3.0,100.0,55a5cffb
A Ahmadhel,2020/21,2,1.0,2.0,28.57,2.0,Bulgaria,6.5,26.0,4.0,76.19,55a5cffb
A Ahmadhel,2021,3,3.0,5.0,38.46,1.66,Bulgaria,4.43,31.0,7.0,66.76,55a5cffb
A Ahmadhel,2023,2,0.0,0.0,0.0,0.0,Bulgaria,4.43,31.0,7.0,53.41,55a5cffb
A Ahmadhel,2024,1,1.0,2.0,33.33,2.0,Bulgaria,4.12,33.0,8.0,50.06,55a5cffb
A Amado,2022,3,3.0,25.0,67.56,8.33,Israel,8.33,25.0,3.0,67.56,14ea3348
A Andrews,2021/22,3,1.0,0.0,0.0,0.0,Switzerland,0.0,0.0,1.0,0.0,1d45c01a
A Andrews,2022,4,3.0,34.0,85.0,17.0,Switzerland,12.75,34.0,4.0,42.5,1d45c01a
A Ashok,2023,1,0.0,0.0,0.0,0.0,New Zealand,0.0,0.0,0.0,0.0,321be7e3
A Ashokan,2019/20,2,2.0,41.0,141.37,20.5,Czech Republic,20.5,41.0,2.0,141.37,9244df4b
A Ashokan,2020,4,4.0,51.0,94.44,12.75,Czech Republic,15.33,92.0,6.0,117.91,9244df4b
A Ashokan,2021,7,7.0,151.0,107.85,30.2,Czech Republic,23.34,243.0,13.0,114.55,9244df4b
A Ashokan,2022,15,14.0,369.0,123.41,36.9,Czech Republic,30.37,612.0,27.0,116.77,9244df4b
A Ashokan,2023,3,3.0,43.0,74.13,14.33,Czech Republic,28.77,655.0,30.0,108.24,9244df4b
A Athanaze,2024,4,4.0,75.0,122.95,25.0,West Indies,25.0,75.0,4.0,122.95,58c2fac4
A Bagai,2008,3,3.0,24.0,92.3,12.0,Canada,12.0,24.0,3.0,92.3,112959b2
A Bagai,2009/10,4,4.0,145.0,118.85,36.25,Canada,25.86,169.0,7.0,105.57,112959b2
A Bagai,2013/14,2,2.0,115.0,113.86,115.0,Canada,45.67,284.0,9.0,108.34,112959b2
A Balbirnie,2015,7,4.0,77.0,98.71,19.25,Ireland,19.25,77.0,4.0,98.71,6ef13460
A Balbirnie,2015/16,3,3.0,7.0,43.75,2.33,Ireland,12.0,84.0,7.0,71.23,6ef13460
A Balbirnie,2018,6,6.0,105.0,129.62,17.5,Ireland,14.54,189.0,13.0,90.69,6ef13460
A Balbirnie,2018/19,6,6.0,177.0,143.9,29.5,Ireland,19.26,366.0,19.0,104.0,6ef13460
A Balbirnie,2019,4,4.0,157.0,184.7,52.33,Ireland,25.01,523.0,23.0,120.14,6ef13460
A Balbirnie,2019/20,17,16.0,422.0,122.31,28.13,Ireland,26.29,945.0,39.0,120.5,6ef13460
A Balbirnie,2021,8,8.0,137.0,120.17,17.12,Ireland,24.73,1082.0,47.0,120.45,6ef13460
A Balbirnie,2021/22,16,16.0,347.0,121.32,24.78,Ireland,24.74,1429.0,63.0,120.56,6ef13460
A Balbirnie,2022,12,12.0,228.0,121.92,19.0,Ireland,23.82,1657.0,75.0,120.71,6ef13460
A Balbirnie,2022/23,10,10.0,200.0,116.27,20.0,Ireland,23.37,1857.0,85.0,120.27,6ef13460
A Balbirnie,2023,6,6.0,184.0,129.57,30.66,Ireland,23.85,2041.0,91.0,121.11,6ef13460
A Balbirnie,2023/24,6,6.0,129.0,113.15,21.5,Ireland,23.71,2170.0,97.0,120.45,6ef13460
A Balbirnie,2024,9,9.0,222.0,112.12,24.66,Ireland,23.79,2392.0,106.0,119.81,6ef13460
A Bhadauria,2022,2,2.0,40.0,129.03,20.0,Luxembourg,20.0,40.0,2.0,129.03,a74bbdad
A Bhagwat,2019/20,4,4.0,5.0,31.25,1.25,Hong Kong,1.25,5.0,4.0,31.25,906ef9e5
A Bhargava,2022,2,2.0,7.0,116.66,7.0,Singapore,7.0,7.0,2.0,116.66,192f2caf
A Bhargava,2023,3,1.0,5.0,166.66,5.0,Singapore,6.33,12.0,3.0,141.66,192f2caf
A Bhattarai,2014/15,1,1.0,2.0,66.66,2.0,Nepal,2.0,2.0,1.0,66.66,2c2013a9
A Bishnoi,2021,7,4.0,4.0,50.0,1.33,Malta,1.33,4.0,4.0,50.0,376557f7
A Bishnoi,2023,5,5.0,7.0,53.84,7.0,Malta,4.48,11.0,9.0,51.92,376557f7
A Bohara,2018/19,3,0.0,0.0,0.0,0.0,Nepal,0.0,0.0,0.0,0.0,64fb6b15
A Bohara,2019,5,2.0,0.0,0.0,0.0,Nepal,0.0,0.0,2.0,0.0,64fb6b15
A Bohara,2019/20,12,5.0,17.0,106.25,8.5,Nepal,6.07,17.0,7.0,35.42,64fb6b15
A Bohara,2021,4,0.0,0.0,0.0,0.0,Nepal,6.07,17.0,7.0,26.56,64fb6b15
A Bohara,2021/22,12,3.0,4.0,80.0,1.33,Nepal,4.65,21.0,10.0,37.25,64fb6b15
A Bohara,2023,3,1.0,0.0,0.0,0.0,Nepal,4.23,21.0,11.0,31.04,64fb6b15
A Bohara,2023/24,14,3.0,1.0,25.0,1.0,Nepal,3.54,22.0,14.0,30.18,64fb6b15
A Bohara,2024,9,3.0,1.0,20.0,0.5,Nepal,3.0,23.0,17.0,28.91,64fb6b15
A Bulow,2019,2,1.0,11.0,84.61,11.0,Denmark,11.0,11.0,1.0,84.61,16f4cc7e
A Bushell,2023,3,1.0,5.0,62.5,5.0,Guernsey,5.0,5.0,1.0,62.5,2d645c00
A Chaubey,2024,4,4.0,14.0,66.66,3.5,Croatia,3.5,14.0,4.0,66.66,c577d7d4
A Chaudhary,2023/24,3,3.0,42.0,102.43,14.0,Singapore,14.0,42.0,3.0,102.43,465fd722
A Chaudhary,2024,2,1.0,0.0,0.0,0.0,Singapore,10.5,42.0,4.0,51.22,465fd722
A Conteh,2022/23,7,7.0,44.0,57.89,6.28,Gambia,6.28,44.0,7.0,57.89,97b9cb64
A Conteh,2023/24,2,1.0,1.0,20.0,1.0,Gambia,5.62,45.0,8.0,38.95,97b9cb64
A Dananjaya,2012/13,5,1.0,0.0,0.0,0.0,Sri Lanka,0.0,0.0,1.0,0.0,5b16a806
A Dananjaya,2017,1,0.0,0.0,0.0,0.0,Sri Lanka,0.0,0.0,1.0,0.0,5b16a806
A Dananjaya,2017/18,9,5.0,29.0,100.0,9.66,Sri Lanka,8.05,29.0,6.0,33.33,5b16a806
A Dananjaya,2018,1,1.0,2.0,28.57,2.0,Sri Lanka,7.19,31.0,7.0,32.14,5b16a806
A Dananjaya,2018/19,3,3.0,18.0,105.88,9.0,Sri Lanka,7.73,49.0,10.0,46.89,5b16a806
A Dananjaya,2019,3,2.0,0.0,0.0,0.0,Sri Lanka,6.44,49.0,12.0,39.07,5b16a806
A Dananjaya,2020/21,3,1.0,9.0,100.0,9.0,Sri Lanka,6.64,58.0,13.0,47.78,5b16a806
A Dananjaya,2021,6,2.0,3.0,60.0,1.5,Sri Lanka,5.95,61.0,15.0,49.31,5b16a806
A Dananjaya,2023/24,2,1.0,4.0,400.0,4.0,Sri Lanka,5.83,65.0,16.0,88.27,5b16a806
A Davidson Soler,2024,9,5.0,90.0,111.11,18.0,Spain,18.0,90.0,5.0,111.11,524943f1
A Daxini,2023,4,3.0,11.0,50.0,3.66,Croatia,3.66,11.0,3.0,50.0,2f949d55
A Denuwan,2022/23,3,0.0,0.0,0.0,0.0,Italy,0.0,0.0,0.0,0.0,96912eac
A Dhingra,2021,3,1.0,0.0,0.0,0.0,Luxembourg,0.0,0.0,1.0,0.0,753ada66
A Dhingra,2022,7,1.0,1.0,33.33,1.0,Luxembourg,0.5,1.0,2.0,16.67,753ada66
A Dhingra,2023,7,4.0,7.0,116.66,7.0,Luxembourg,4.83,8.0,6.0,50.0,753ada66
A Dhingra,2023/24,1,1.0,1.0,50.0,1.0,Luxembourg,4.29,9.0,7.0,50.0,753ada66
