Player,Season,Mat,Inns,Overs,Bowling_Runs,Wkts,Econ,Country,Cumulative Overs,Cumulative Wkts,Cumulative Runs,Cumulative Inns,Cumulative Econ,player_id
A Ahmadhel,2019/20,3,3.0,10.0,75.0,3.0,7.5,Bulgaria,10.0,3.0,75.0,3.0,25.0,55a5cffb
A Ahmadhel,2020,1,1.0,2.0,22.0,1.0,11.0,Bulgaria,12.0,4.0,97.0,4.0,24.25,55a5cffb
A Ahmadhel,2020/21,2,2.0,2.4,27.0,2.0,10.12,Bulgaria,14.4,6.0,124.0,6.0,20.666666666666668,55a5cffb
A Ahmadhel,2021,3,2.0,3.0,31.0,0.0,10.33,Bulgaria,17.4,6.0,155.0,8.0,19.375,55a5cffb
A Ahmadhel,2023,2,0.0,0.0,0.0,0.0,0.0,Bulgaria,17.4,6.0,155.0,8.0,19.375,55a5cffb
A Ahmadhel,2024,1,0.0,0.0,0.0,0.0,0.0,Bulgaria,17.4,6.0,155.0,8.0,19.375,55a5cffb
A Amado,2022,3,3.0,6.0,58.0,3.0,9.66,Israel,6.0,3.0,58.0,3.0,19.333333333333332,14ea3348
A Andrews,2021/22,3,3.0,10.0,61.0,4.0,6.1,Switzerland,10.0,4.0,61.0,3.0,20.333333333333332,1d45c01a
A Andrews,2022,4,1.0,1.0,21.0,0.0,21.0,Switzerland,11.0,4.0,82.0,4.0,20.5,1d45c01a
A Ashok,2023,1,1.0,4.0,28.0,1.0,7.0,New Zealand,4.0,1.0,28.0,1.0,28.0,321be7e3
A Ashokan,2019/20,2,1.0,2.0,16.0,0.0,8.0,Czech Republic,2.0,0.0,16.0,1.0,16.0,9244df4b
A Ashokan,2020,4,4.0,8.5,97.0,2.0,10.98,Czech Republic,10.5,2.0,113.0,5.0,22.6,9244df4b
A Ashokan,2021,7,5.0,12.0,104.0,1.0,8.66,Czech Republic,22.5,3.0,217.0,10.0,21.7,9244df4b
A Ashokan,2022,15,12.0,40.0,311.0,11.0,7.77,Czech Republic,62.5,14.0,528.0,22.0,24.0,9244df4b
A Ashokan,2023,3,3.0,12.0,52.0,6.0,4.33,Czech Republic,74.5,20.0,580.0,25.0,23.2,9244df4b
A Athanaze,2024,4,0.0,0.0,0.0,0.0,0.0,West Indies,0.0,0.0,0.0,0.0,0.0,58c2fac4
A Bagai,2008,3,0.0,0.0,0.0,0.0,0.0,Canada,0.0,0.0,0.0,0.0,0.0,112959b2
A Bagai,2009/10,4,0.0,0.0,0.0,0.0,0.0,Canada,0.0,0.0,0.0,0.0,0.0,112959b2
A Bagai,2013/14,2,0.0,0.0,0.0,0.0,0.0,Canada,0.0,0.0,0.0,0.0,0.0,112959b2
A Balbirnie,2015,7,0.0,0.0,0.0,0.0,0.0,Ireland,0.0,0.0,0.0,0.0,0.0,6ef13460
A Balbirnie,2015/16,3,0.0,0.0,0.0,0.0,0.0,Ireland,0.0,0.0,0.0,0.0,0.0,6ef13460
A Balbirnie,2018,6,0.0,0.0,0.0,0.0,0.0,Ireland,0.0,0.0,0.0,0.0,0.0,6ef13460
A Balbirnie,2018/19,6,0.0,0.0,0.0,0.0,0.0,Ireland,0.0,0.0,0.0,0.0,0.0,6ef13460
A Balbirnie,2019,4,0.0,0.0,0.0,0.0,0.0,Ireland,0.0,0.0,0.0,0.0,0.0,6ef13460
A Balbirnie,2019/20,17,0.0,0.0,0.0,0.0,0.0,Ireland,0.0,0.0,0.0,0.0,0.0,6ef13460
A Balbirnie,2021,8,0.0,0.0,0.0,0.0,0.0,Ireland,0.0,0.0,0.0,0.0,0.0,6ef13460
A Balbirnie,2021/22,16,0.0,0.0,0.0,0.0,0.0,Ireland,0.0,0.0,0.0,0.0,0.0,6ef13460
A Balbirnie,2022,12,0.0,0.0,0.0,0.0,0.0,Ireland,0.0,0.0,0.0,0.0,0.0,6ef13460
A Balbirnie,2022/23,10,0.0,0.0,0.0,0.0,0.0,Ireland,0.0,0.0,0.0,0.0,0.0,6ef13460
A Balbirnie,2023,6,0.0,0.0,0.0,0.0,0.0,Ireland,0.0,0.0,0.0,0.0,0.0,6ef13460
A Balbirnie,2023/24,6,0.0,0.0,0.0,0.0,0.0,Ireland,0.0,0.0,0.0,0.0,0.0,6ef13460
A Balbirnie,2024,9,0.0,0.0,0.0,0.0,0.0,Ireland,0.0,0.0,0.0,0.0,0.0,6ef13460
A Bhadauria,2022,2,0.0,0.0,0.0,0.0,0.0,Luxembourg,0.0,0.0,0.0,0.0,0.0,a74bbdad
A Bhagwat,2019/20,4,0.0,0.0,0.0,0.0,0.0,Hong Kong,0.0,0.0,0.0,0.0,0.0,906ef9e5
A Bhargava,2022,2,1.0,2.0,14.0,1.0,7.0,Singapore,2.0,1.0,14.0,1.0,14.0,192f2caf
A Bhargava,2023,3,3.0,11.0,60.0,8.0,5.45,Singapore,13.0,9.0,74.0,4.0,18.5,192f2caf
A Bhattarai,2014/15,1,1.0,3.0,12.0,1.0,4.0,Nepal,3.0,1.0,12.0,1.0,12.0,2c2013a9
A Bishnoi,2021,7,7.0,16.3,146.0,5.0,8.84,Malta,16.3,5.0,146.0,7.0,20.857142857142858,376557f7
A Bishnoi,2023,5,5.0,17.2,160.0,7.0,9.23,Malta,33.5,12.0,306.0,12.0,25.5,376557f7
A Bohara,2018/19,3,3.0,10.0,72.0,6.0,7.2,Nepal,10.0,6.0,72.0,3.0,24.0,64fb6b15
A Bohara,2019,5,5.0,18.0,134.0,6.0,7.44,Nepal,28.0,12.0,206.0,8.0,25.75,64fb6b15
A Bohara,2019/20,12,11.0,38.0,230.0,8.0,6.05,Nepal,66.0,20.0,436.0,19.0,22.94736842105263,64fb6b15
A Bohara,2021,4,4.0,12.2,97.0,2.0,7.86,Nepal,78.2,22.0,533.0,23.0,23.17391304347826,64fb6b15
A Bohara,2021/22,12,12.0,40.0,271.0,18.0,6.77,Nepal,118.2,40.0,804.0,35.0,22.97142857142857,64fb6b15
A Bohara,2023,3,3.0,9.4,66.0,8.0,6.82,Nepal,127.60000000000001,48.0,870.0,38.0,22.894736842105264,64fb6b15
A Bohara,2023/24,14,13.0,49.0,412.0,19.0,8.4,Nepal,176.60000000000002,67.0,1282.0,51.0,25.137254901960784,64fb6b15
A Bohara,2024,9,8.0,24.4,196.0,8.0,7.94,Nepal,201.00000000000003,75.0,1478.0,59.0,25.050847457627118,64fb6b15
A Bulow,2019,2,0.0,0.0,0.0,0.0,0.0,Denmark,0.0,0.0,0.0,0.0,0.0,16f4cc7e
A Bushell,2023,3,0.0,0.0,0.0,0.0,0.0,Guernsey,0.0,0.0,0.0,0.0,0.0,2d645c00
A Chaubey,2024,4,4.0,13.1,126.0,3.0,9.56,Croatia,13.1,3.0,126.0,4.0,31.5,c577d7d4
A Chaudhary,2023/24,3,3.0,5.0,46.0,0.0,9.2,Singapore,5.0,0.0,46.0,3.0,15.333333333333334,465fd722
A Chaudhary,2024,2,2.0,8.0,55.0,3.0,6.87,Singapore,13.0,3.0,101.0,5.0,20.2,465fd722
A Conteh,2022/23,7,6.0,19.1,123.0,9.0,6.41,Gambia,19.1,9.0,123.0,6.0,20.5,97b9cb64
A Conteh,2023/24,2,2.0,6.0,38.0,0.0,6.33,Gambia,25.1,9.0,161.0,8.0,20.125,97b9cb64
A Dananjaya,2012/13,5,5.0,14.0,95.0,7.0,6.78,Sri Lanka,14.0,7.0,95.0,5.0,19.0,5b16a806
A Dananjaya,2017,1,1.0,4.0,28.0,0.0,7.0,Sri Lanka,18.0,7.0,123.0,6.0,20.5,5b16a806
A Dananjaya,2017/18,9,9.0,34.4,287.0,5.0,8.27,Sri Lanka,52.4,12.0,410.0,15.0,27.333333333333332,5b16a806
A Dananjaya,2018,1,1.0,4.0,15.0,2.0,3.75,Sri Lanka,56.4,14.0,425.0,16.0,26.5625,5b16a806
A Dananjaya,2018/19,3,3.0,12.0,101.0,2.0,8.41,Sri Lanka,68.4,16.0,526.0,19.0,27.68421052631579,5b16a806
A Dananjaya,2019,3,3.0,11.0,94.0,6.0,8.54,Sri Lanka,79.4,22.0,620.0,22.0,28.181818181818183,5b16a806
A Dananjaya,2020/21,3,3.0,12.0,128.0,4.0,10.66,Sri Lanka,91.4,26.0,748.0,25.0,29.92,5b16a806
