Player,Mat,Inns,Dis,Ct,St,D/I,Season,Country,Country_right,player_id
A Andrews,3,3.0,4.0,4.0,0.0,1.3333333333333333,2021/22,SUI,Switzerland,1d45c01a
A Andrews,4,4.0,7.0,7.0,0.0,1.0,2022,SUI,Switzerland,1d45c01a
A Ashok,1,1.0,0.0,0.0,0.0,0.0,2023,NZ,New Zealand,321be7e3
A Athanaze,4,4.0,2.0,2.0,0.0,0.5,2024,WI,West Indies,58c2fac4
A Balbirnie,7,5.0,1.0,1.0,0.0,0.2,2015,IRE,Ireland,6ef13460
A Balbirnie,3,3.0,3.0,3.0,0.0,0.375,2015/16,IRE,Ireland,6ef13460
A Balbirnie,6,6.0,5.0,5.0,0.0,0.35714285714285715,2018,IRE,Ireland,6ef13460
A Balbirnie,6,6.0,7.0,7.0,0.0,0.35,2018/19,IRE,Ireland,6ef13460
A Balbirnie,4,4.0,10.0,10.0,0.0,0.4166666666666667,2019,IRE,Ireland,6ef13460
A Balbirnie,17,17.0,16.0,16.0,0.0,0.3902439024390244,2019/20,IRE,Ireland,6ef13460
A Balbirnie,8,8.0,23.0,23.0,0.0,0.46938775510204084,2021,IRE,Ireland,6ef13460
A Balbirnie,16,16.0,28.0,28.0,0.0,0.4307692307692308,2021/22,IRE,Ireland,6ef13460
A Balbirnie,12,12.0,30.0,30.0,0.0,0.38961038961038963,2022,IRE,Ireland,6ef13460
A Balbirnie,10,10.0,32.0,32.0,0.0,0.367816091954023,2022/23,IRE,Ireland,6ef13460
A Balbirnie,6,6.0,36.0,36.0,0.0,0.3870967741935484,2023,IRE,Ireland,6ef13460
A Balbirnie,6,6.0,39.0,39.0,0.0,0.3939393939393939,2023/24,IRE,Ireland,6ef13460
A Balbirnie,9,9.0,40.0,40.0,0.0,0.37037037037037035,2024,IRE,Ireland,6ef13460
A Bhargava,2,2.0,0.0,0.0,0.0,0.0,2022,SGP,Singapore,192f2caf
A Bhargava,3,3.0,1.0,1.0,0.0,0.2,2023,SGP,Singapore,192f2caf
A Bohara,3,3.0,0.0,0.0,0.0,0.0,2018/19,NEP,Nepal,64fb6b15
A Bohara,5,5.0,3.0,3.0,0.0,0.375,2019,NEP,Nepal,64fb6b15
A Bohara,12,12.0,5.0,5.0,0.0,0.25,2019/20,NEP,Nepal,64fb6b15
A Bohara,4,4.0,6.0,6.0,0.0,0.25,2021,NEP,Nepal,64fb6b15
A Bohara,12,12.0,7.0,7.0,0.0,0.19444444444444445,2021/22,NEP,Nepal,64fb6b15
A Bohara,3,3.0,8.0,8.0,0.0,0.20512820512820512,2023,NEP,Nepal,64fb6b15
A Bohara,14,14.0,11.0,11.0,0.0,0.20754716981132076,2023/24,NEP,Nepal,64fb6b15
A Bohara,9,9.0,11.0,11.0,0.0,0.1774193548387097,2024,NEP,Nepal,64fb6b15
A Chaudhary,3,3.0,0.0,0.0,0.0,0.0,2023/24,SGP,Singapore,465fd722
A Chaudhary,2,2.0,0.0,0.0,0.0,0.0,2024,SGP,Singapore,465fd722
A Conteh,7,7.0,2.0,2.0,0.0,0.2857142857142857,2022/23,GMB,Gambia,97b9cb64
A Conteh,2,2.0,2.0,2.0,0.0,0.2222222222222222,2023/24,GMB,Gambia,97b9cb64
A Dananjaya,1,1.0,0.0,0.0,0.0,0.0,2017,SL,Sri Lanka,5b16a806
A Dananjaya,9,9.0,4.0,4.0,0.0,0.4,2017/18,SL,Sri Lanka,5b16a806
A Dananjaya,1,1.0,4.0,4.0,0.0,0.36363636363636365,2018,SL,Sri Lanka,5b16a806
A Dananjaya,3,3.0,4.0,4.0,0.0,0.2857142857142857,2018/19,SL,Sri Lanka,5b16a806
A Dananjaya,3,3.0,4.0,4.0,0.0,0.23529411764705882,2019,SL,Sri Lanka,5b16a806
A Dananjaya,3,3.0,6.0,6.0,0.0,0.3,2020/21,SL,Sri Lanka,5b16a806
A Dananjaya,6,6.0,6.0,6.0,0.0,0.23076923076923078,2021,SL,Sri Lanka,5b16a806
A Dananjaya,2,2.0,6.0,6.0,0.0,0.21428571428571427,2023/24,SL,Sri Lanka,5b16a806
A Dhingra,3,3.0,1.0,1.0,0.0,0.3333333333333333,2021,LUX,Luxembourg,753ada66
A Dhingra,7,7.0,2.0,2.0,0.0,0.2,2022,LUX,Luxembourg,753ada66
A Dhingra,7,7.0,2.0,2.0,0.0,0.11764705882352941,2023,LUX,Luxembourg,753ada66
A Dhingra,1,1.0,2.0,2.0,0.0,0.1111111111111111,2023/24,LUX,Luxembourg,753ada66
A Djorovic,2,2.0,0.0,0.0,0.0,0.0,2019/20,SRB,Serbia,677c18f9
A Djorovic,4,4.0,0.0,0.0,0.0,0.0,2021,SRB,Serbia,677c18f9
A Djorovic,3,3.0,2.0,2.0,0.0,0.2222222222222222,2022,SRB,Serbia,677c18f9
A Djorovic,2,2.0,2.0,2.0,0.0,0.18181818181818182,2023/24,SRB,Serbia,677c18f9
A Dowling,1,1.0,0.0,0.0,0.0,0.0,2024,BUL,Bulgaria,ec064d97
A Dutt,4,4.0,0.0,0.0,0.0,0.0,2021,NED,Netherlands,803dbf1d
A Dutt,1,1.0,1.0,1.0,0.0,0.2,2022,NED,Netherlands,803dbf1d
A Dutt,4,4.0,1.0,1.0,0.0,0.1111111111111111,2023/24,NED,Netherlands,803dbf1d
A Dutt,6,6.0,1.0,1.0,0.0,0.06666666666666667,2024,NED,Netherlands,803dbf1d
A Gasteratos,2,2.0,0.0,0.0,0.0,0.0,2022,GRC,Greece,e87c009a
A Gasteratos,4,4.0,0.0,0.0,0.0,0.0,2024,GRC,Greece,e87c009a
A Gbla,8,8.0,0.0,0.0,0.0,0.0,2021/22,SLE,Sierra Leone,34ab1e6e
A Gbla,7,7.0,1.0,1.0,0.0,0.06666666666666667,2022/23,SLE,Sierra Leone,34ab1e6e
A Gbla,12,12.0,7.0,7.0,0.0,0.25925925925925924,2023/24,SLE,Sierra Leone,34ab1e6e
A Gorawara,2,2.0,2.0,2.0,0.0,1.0,2022/23,HKG,Hong Kong,c6b11959
A Gorawara,1,1.0,2.0,2.0,0.0,0.6666666666666666,2023/24,HKG,Hong Kong,c6b11959
A Gorawara,1,1.0,3.0,3.0,0.0,0.75,2024,HKG,Hong Kong,c6b11959
A Govorko,4,4.0,4.0,4.0,0.0,1.0,2024,CRT,Croatia,a6e4e6f9
A Halbhavi,3,3.0,0.0,0.0,0.0,0.0,2021,LUX,Luxembourg,df1b4c8f
A Halbhavi,1,1.0,0.0,0.0,0.0,0.0,2022,LUX,Luxembourg,df1b4c8f
A Halbhavi,11,11.0,2.0,2.0,0.0,0.13333333333333333,2023,LUX,Luxembourg,df1b4c8f
A Halbhavi,1,1.0,2.0,2.0,0.0,0.125,2023/24,LUX,Luxembourg,df1b4c8f
A Husain,5,5.0,1.0,1.0,0.0,0.2,2019/20,Arg,Argentina,034d3c52
A Husain,5,5.0,4.0,4.0,0.0,0.4,2021/22,Arg,Argentina,034d3c52
A Husain,5,5.0,4.0,4.0,0.0,0.26666666666666666,2022/23,Arg,Argentina,034d3c52
A Husain,1,1.0,5.0,5.0,0.0,0.3125,2024/25,Arg,Argentina,034d3c52
A Johnson,7,7.0,3.0,3.0,0.0,0.42857142857142855,2022/23,CAN,Canada,a28a7fba
A Johnson,5,5.0,6.0,6.0,0.0,0.5,2023/24,CAN,Canada,a28a7fba
A Johnson,13,12.0,8.0,8.0,0.0,0.3333333333333333,2024,CAN,Canada,a28a7fba
A Kainessie,8,8.0,1.0,1.0,0.0,0.125,2023/24,SLE,Sierra Leone,c7acf05f
A Kapoor,2,2.0,1.0,1.0,0.0,0.5,2022/23,CAN,Canada,2835af2a
A Kaul,4,4.0,0.0,0.0,0.0,0.0,2022/23,SGP,Singapore,53d0b0dc
A Kaul,3,3.0,0.0,0.0,0.0,0.0,2023/24,SGP,Singapore,53d0b0dc
A Kaul,4,4.0,3.0,3.0,0.0,0.2727272727272727,2024,SGP,Singapore,53d0b0dc
A Kheterpal,4,4.0,0.0,0.0,0.0,0.0,2021,HUN,Hungary,2deb4082
A Kheterpal,9,9.0,2.0,2.0,0.0,0.15384615384615385,2022,HUN,Hungary,2deb4082
A Kheterpal,5,5.0,4.0,4.0,0.0,0.2222222222222222,2023,HUN,Hungary,2deb4082
A Kirschbaum,6,6.0,5.0,5.0,0.0,0.8333333333333334,2021/22,Arg,Argentina,d953bf92
A Kirschbaum,6,6.0,7.0,7.0,0.0,0.5833333333333334,2022/23,Arg,Argentina,d953bf92
A Kirschbaum,2,2.0,7.0,7.0,0.0,0.5,2023/24,Arg,Argentina,d953bf92
A Kirschbaum,1,1.0,7.0,7.0,0.0,0.4666666666666667,2024/25,Arg,Argentina,d953bf92
A Krishna,3,3.0,0.0,0.0,0.0,0.0,2019,SGP,Singapore,13598ebc
A Krishna,4,4.0,0.0,0.0,0.0,0.0,2019/20,SGP,Singapore,13598ebc
A Krishna,5,5.0,1.0,1.0,0.0,0.08333333333333333,2022,SGP,Singapore,13598ebc
A Krishna,4,4.0,2.0,2.0,0.0,0.125,2023,SGP,Singapore,13598ebc
A Krishna,2,2.0,2.0,2.0,0.0,0.1111111111111111,2023/24,SGP,Singapore,13598ebc
A Limdawala,3,3.0,0.0,0.0,0.0,0.0,2022,MWI,Malawi,2bcbcac3
A Limdawala,7,7.0,2.0,2.0,0.0,0.2,2022/23,MWI,Malawi,2bcbcac3
A Limdawala,3,3.0,6.0,6.0,0.0,0.46153846153846156,2023,MWI,Malawi,2bcbcac3
A Limdawala,5,5.0,12.0,12.0,0.0,0.6666666666666666,2023/24,MWI,Malawi,2bcbcac3
A Limdawala,10,10.0,17.0,17.0,0.0,0.6071428571428571,2024,MWI,Malawi,2bcbcac3
A Limdawala,5,5.0,20.0,20.0,0.0,0.6060606060606061,2024/25,MWI,Malawi,2bcbcac3
A Maheshwari,3,3.0,0.0,0.0,0.0,0.0,2022,CRT,Croatia,3ec513ea
A Maheshwari,2,2.0,2.0,2.0,0.0,0.4,2023,CRT,Croatia,3ec513ea
A Maheshwari,7,7.0,5.0,5.0,0.0,0.4166666666666667,2024,CRT,Croatia,3ec513ea
A Manepalli,2,2.0,3.0,3.0,0.0,1.5,2020,LUX,Luxembourg,36101309
A Manepalli,4,4.0,7.0,7.0,0.0,1.1666666666666667,2021,LUX,Luxembourg,36101309
A Manepalli,1,1.0,8.0,8.0,0.0,1.1428571428571428,2022,LUX,Luxembourg,36101309
A Manepalli,1,1.0,8.0,8.0,0.0,1.0,2024,LUX,Luxembourg,36101309
A Manousis,3,3.0,2.0,2.0,0.0,0.6666666666666666,2019/20,GRC,Greece,b672e825
A Manousis,4,4.0,4.0,2.0,2.0,0.5714285714285714,2021,GRC,Greece,b672e825
