player_id,Player,Mat,SR,Overs,Wkts,Econ,D/I
f80682f8,Ravinderpal Singh,35,145.23,1.1,2.0,12.0,0.588
31080a88,Aslam Khan,9,108.33,0.0,0.0,0.0,0.444
5aeab54c,Ihsanullah,1,142.85,0.0,0.0,0.0,0.0
a049c39b,Tariq Aziz,4,85.1,16.0,6.0,4.37,0.0
321fcf79,S Singh,1,0.0,0.0,0.0,0.0,0.0
51a60c16,CJ Boyce,7,57.14,23.0,8.0,6.6,0.0
8b5b6769,Harbhajan Singh,28,124.13,102.0,25.0,6.2,0.259
7d85b1e9,BA Viraliliu,3,122.5,0.0,0.0,0.0,0.666
d666d3a8,BA Parchment,1,166.66,0.0,0.0,0.0,0.0
69cccff3,Rashid Khan,93,128.13,353.2,152.0,6.08,0.0
9585854d,D Wotu,17,122.22,52.3,14.0,7.2,0.235
9853b404,ML Castillo,5,91.42,12.0,3.0,6.58,0.4
4ebc70ca,GT Main,16,70.58,40.2,19.0,8.47,0.214
907d6e58,Aamer Yamin,2,250.0,6.0,2.0,6.16,0.0
d4aa2ddb,R Sheshadri,4,95.45,3.0,1.0,6.66,0.25
9b8a3c39,Muhammad Musa,2,0.0,7.5,0.0,7.91,0.0
1ba16d18,Tarun Sharma,10,101.73,1.0,0.0,14.0,1.0
9219eff0,JDS Neesham,79,154.5,118.3,39.0,9.09,0.467
8d2c70ad,Kuldeep Yadav,40,77.96,143.2,69.0,6.77,0.307
e7de4f6b,RR Emrit,4,62.96,16.0,4.0,9.75,0.0
07e5bda2,L Monanthane,11,38.33,23.0,4.0,9.17,0.09
fb2d1dda,N Rana,2,55.55,0.0,0.0,0.0,0.0
b312a9c1,E Walker,5,15.78,8.0,1.0,9.37,0.0
c10747c3,Imran Arif,4,75.0,16.0,6.0,5.5,0.5
9f500ddb,L Nou,3,66.66,10.0,1.0,6.5,0.0
6c7880ff,Muhammed Shanil,1,33.33,4.0,0.0,12.25,0.0
ccda520f,Anik Ahmed,4,91.37,9.0,2.0,8.44,0.0
da3b91fd,Imran Khan,3,0.0,13.0,2.0,6.38,1.0
710e1a5c,Ravinder Singh,7,114.0,6.0,1.0,12.0,0.142
8596fe80,Mohammad Hasnain,27,92.3,101.0,25.0,8.44,0.037
f20e7aac,W Uisuk,4,27.5,4.0,0.0,11.25,0.25
17bc032c,C Munoz-Mills,41,132.23,0.0,0.0,0.0,0.65
6bd0d89e,B Mejaro,3,15.38,6.0,2.0,9.16,0.0
a4a53adf,J Albin,25,77.38,40.0,9.0,10.95,0.16
7fa6bd8e,RR Patel,81,141.03,97.5,37.0,6.01,0.604
0b60eb09,KA Maharaj,35,93.87,118.5,35.0,7.11,0.4
940255af,A Mongar,2,66.66,3.0,2.0,3.66,0.0
4289ccc9,Samader Shadab,4,68.42,8.0,3.0,10.62,0.5
46050f42,GA Rogers,2,87.5,7.5,2.0,8.55,0.0
